timestamp,open,high,low,close,volume
2025-05-30 19:55:00,94.3090,94.3097,94.1697,94.3097,671
2025-05-30 19:50:00,94.3595,94.3595,94.2097,94.3494,49
2025-05-30 19:45:00,94.2296,94.2296,94.1697,94.1697,393
2025-05-30 19:40:00,94.3196,94.3196,94.2396,94.2396,11
2025-05-30 19:35:00,94.2596,94.2596,94.2097,94.2097,260
2025-05-30 19:30:00,94.3495,94.3495,94.1897,94.2097,327
2025-05-30 19:25:00,94.1897,94.3595,94.1597,94.3495,122
2025-05-30 19:20:00,94.2996,94.2996,94.1647,94.1647,261
2025-05-30 19:15:00,94.3096,94.3096,94.3081,94.3081,4
2025-05-30 19:10:00,94.2346,94.3595,94.1608,94.3595,2028
2025-05-30 19:05:00,94.3096,94.3196,94.2596,94.2996,1550
2025-05-30 19:00:00,94.3096,94.3695,94.3096,94.3595,204
2025-05-30 18:55:00,94.3845,94.3845,94.3196,94.3595,218
2025-05-30 18:50:00,94.3395,94.3595,94.3096,94.3595,352
2025-05-30 18:45:00,94.3096,94.3096,94.3096,94.3096,1
2025-05-30 18:40:00,94.3895,94.4694,94.3295,94.3595,240
2025-05-30 18:35:00,94.3695,94.3695,94.3695,94.3695,462
2025-05-30 18:30:00,94.3695,94.4095,94.3695,94.4095,873
2025-05-30 18:25:00,94.3495,94.4095,94.3495,94.4095,115
2025-05-30 18:20:00,94.3995,94.4077,94.3412,94.3412,120
2025-05-30 18:15:00,94.3695,94.4095,94.3695,94.4095,31
2025-05-30 18:10:00,94.3694,94.3695,94.3595,94.3695,1513
2025-05-30 18:05:00,94.3795,94.3795,94.3395,94.3695,201
2025-05-30 18:00:00,94.3795,94.4089,94.3495,94.3495,512
2025-05-30 17:55:00,94.3495,94.3995,94.3495,94.3495,318
2025-05-30 17:50:00,94.3595,94.4095,94.3595,94.3795,540
2025-05-30 17:45:00,94.3895,94.4095,94.3495,94.3595,546
2025-05-30 17:40:00,94.4094,94.4095,94.3995,94.4094,73
2025-05-30 17:35:00,94.3795,94.4095,94.3795,94.4095,3
2025-05-30 17:30:00,94.4095,94.4095,94.3995,94.4083,1028
2025-05-30 17:25:00,94.3196,94.4095,94.3196,94.3595,83
2025-05-30 17:20:00,94.3995,94.4095,94.3196,94.3196,3929
2025-05-30 17:15:00,94.3795,94.4095,94.3595,94.3995,415
2025-05-30 17:10:00,94.4095,94.4095,94.3196,94.3695,721
2025-05-30 17:05:00,94.3895,94.3895,94.3196,94.3196,101
2025-05-30 17:00:00,94.3894,98.9389,94.3196,94.3196,650
2025-05-30 16:55:00,94.3695,94.4594,94.3295,94.3695,4487
2025-05-30 16:50:00,94.4586,94.4586,87.8248,94.3912,423
2025-05-30 16:45:00,94.4494,94.4594,94.3695,94.4494,1086
2025-05-30 16:40:00,94.3695,94.4594,94.3695,94.4394,10078
2025-05-30 16:35:00,94.4594,94.4610,94.3795,94.4195,286
2025-05-30 16:30:00,94.4694,94.5593,94.4694,94.5593,84
2025-05-30 16:25:00,94.3695,94.7092,94.3695,94.4694,45681
2025-05-30 16:20:00,94.6692,94.7092,94.3637,94.5993,13204
2025-05-30 16:15:00,94.4594,94.7891,94.3695,94.6692,4616
2025-05-30 16:10:00,94.8091,94.8091,94.3096,94.3695,352477
2025-05-30 16:05:00,94.4794,94.8091,94.3648,94.5993,804020
2025-05-30 16:00:00,94.3695,95.0189,94.3196,94.5193,12603962
2025-05-30 15:55:00,94.7691,95.0089,94.2496,94.3595,2292109
2025-05-30 15:50:00,95.0489,95.2686,94.7491,94.7541,481296
2025-05-30 15:45:00,95.0688,95.1088,94.8590,95.0439,199363
2025-05-30 15:40:00,95.2686,95.3286,95.0489,95.0688,173119
2025-05-30 15:35:00,95.1088,95.3935,95.0888,95.2487,210504
2025-05-30 15:30:00,95.1987,95.2087,94.9040,95.0938,207260
2025-05-30 15:25:00,95.1188,95.3086,95.1188,95.1887,221213
2025-05-30 15:20:00,94.9889,95.1288,94.7991,95.1088,169568
2025-05-30 15:15:00,94.8790,95.0588,94.8726,94.9989,246649
2025-05-30 15:10:00,94.7142,94.8840,94.7092,94.8740,176974
2025-05-30 15:05:00,94.6792,94.8391,94.6392,94.7192,181329
2025-05-30 15:00:00,94.5893,94.7342,94.5343,94.6792,165828
2025-05-30 14:55:00,94.4594,94.6193,94.3495,94.5943,112088
2025-05-30 14:50:00,94.3695,94.5244,94.3046,94.4494,115801
2025-05-30 14:45:00,94.3395,94.4544,94.3096,94.3895,106418
2025-05-30 14:40:00,94.5693,94.5858,94.3295,94.3295,76866
2025-05-30 14:35:00,94.4494,94.6243,94.4294,94.5693,76980
2025-05-30 14:30:00,94.5893,94.7042,94.4494,94.4644,130666
2025-05-30 14:25:00,94.5393,94.6792,94.5044,94.5788,80907
2025-05-30 14:20:00,94.4694,94.6193,94.2896,94.5293,232907
2025-05-30 14:15:00,94.2296,94.4794,94.0998,94.4564,159701
2025-05-30 14:10:00,94.2396,94.3445,94.2097,94.2346,87023
2025-05-30 14:05:00,93.8000,94.3096,93.8000,94.2620,166280
2025-05-30 14:00:00,93.7801,94.0098,93.7801,93.8100,82726
2025-05-30 13:55:00,94.0298,94.0498,93.7501,93.7601,112756
2025-05-30 13:50:00,93.8500,94.0648,93.8500,94.0398,89951
2025-05-30 13:45:00,93.7901,93.8800,93.6302,93.8600,103436
2025-05-30 13:40:00,93.8700,93.9199,93.7501,93.7701,110552
2025-05-30 13:35:00,93.7601,93.9533,93.7601,93.8600,69490
2025-05-30 13:30:00,93.6602,93.8000,93.6202,93.7851,96762
2025-05-30 13:25:00,93.4804,93.6552,93.4304,93.6402,112123
2025-05-30 13:20:00,93.5653,93.6102,93.3365,93.4903,167163
2025-05-30 13:15:00,93.5103,93.6002,93.4204,93.5703,147432
2025-05-30 13:10:00,93.5303,93.6202,93.4004,93.5103,185044
2025-05-30 13:05:00,93.1407,93.5403,93.1407,93.5203,162008
2025-05-30 13:00:00,92.6911,93.1507,92.5612,93.1407,205351
2025-05-30 12:55:00,92.2066,92.7111,92.1716,92.7061,197240
2025-05-30 12:50:00,92.4563,92.4613,92.1316,92.2116,185199
2025-05-30 12:45:00,92.7161,92.7610,92.3974,92.4613,206182
2025-05-30 12:40:00,93.0208,93.1407,92.6312,92.7161,234373
2025-05-30 12:35:00,92.6911,93.0807,92.5612,93.0208,383529
2025-05-30 12:30:00,93.4804,93.4953,92.4913,92.7111,390544
2025-05-30 12:25:00,93.9249,94.0498,93.3355,93.4604,359599
2025-05-30 12:20:00,93.9849,94.0598,93.8300,93.9149,101237
2025-05-30 12:15:00,94.1397,94.1797,93.9000,93.9849,97134
2025-05-30 12:10:00,94.2446,94.2596,94.0598,94.1497,62021
2025-05-30 12:05:00,93.9699,94.2695,93.9399,94.2296,86487
2025-05-30 12:00:00,94.1797,94.2097,93.9399,93.9799,97746
2025-05-30 11:55:00,94.2796,94.3395,94.1597,94.1797,49581
2025-05-30 11:50:00,94.2296,94.3455,94.1697,94.2746,110908
2025-05-30 11:45:00,94.1897,94.2413,94.0598,94.2147,83168
2025-05-30 11:40:00,94.3245,94.3845,94.1297,94.1997,128828
2025-05-30 11:35:00,94.5393,94.5543,94.2296,94.3295,123330
2025-05-30 11:30:00,94.7591,94.8091,94.4397,94.5368,126452
2025-05-30 11:25:00,94.6093,94.8890,94.5693,94.7791,72499
